source,title,link,description,date,scraped_at,ministry
Microsoft Research Blog,"Magentic-UI, an experimental human-centered web agent",https://www.microsoft.com/en-us/research/blog/magentic-ui-an-experimental-human-centered-web-agent/,"Magentic-UI, new from Microsoft Research, is an open-source research prototype of a human-centered AI agent, designed to work with people to complete complex, web-based tasks in real time over a web browser.",,2025-07-09 04:45:46,
Microsoft Research Blog,Predicting and explaining AI model performance: A new approach to evaluation,https://www.microsoft.com/en-us/research/blog/predicting-and-explaining-ai-model-performance-a-new-approach-to-evaluation/,"ADeLe, a new evaluation method, explains what AI systems are good at—and where they’re likely to fail. By breaking tasks into ability-based requirements, it has the potential to provide a clearer way to evaluate and predict AI model performance.",,2025-07-09 04:45:46,
Microsoft Research Blog,Predicting and explaining AI model performance: A new approach to evaluation,https://www.microsoft.com/en-us/research/blog/predicting-and-explaining-ai-model-performance-a-new-approach-to-evaluation/,"ADeLe, a new evaluation method, explains what AI systems are good at—and where they’re likely to fail. By breaking tasks into ability-based requirements, it has the potential to provide a clearer way to evaluate and predict AI model performance.",,2025-07-09 04:45:46,
Microsoft Research Blog,"Research Focus: Week of May 7, 2025",https://www.microsoft.com/en-us/research/blog/research-focus-week-of-may-7-2025/,"In this issue: New research on compound AI systems and causal verification of the Confidential Consortium Framework; release of Phi-4-reasoning; enriching tabular data with semantic structure, and more.",,2025-07-09 04:45:46,
Microsoft Research Blog,"Research Focus: Week of May 7, 2025",https://www.microsoft.com/en-us/research/blog/research-focus-week-of-may-7-2025/,"In this issue: New research on compound AI systems and causal verification of the Confidential Consortium Framework; release of Phi-4-reasoning; enriching tabular data with semantic structure, and more.",,2025-07-09 04:45:46,
Microsoft Research Blog,Microsoft Fusion Summit explores how AI can accelerate fusion research,https://www.microsoft.com/en-us/research/blog/microsoft-fusion-summit-explores-how-ai-can-accelerate-fusion-research/,"The first Microsoft Research Fusion Summit brought together global experts to explore how AI can help unlock the potential of fusion energy. Discover how collaborations with leading institutions can help speed progress toward clean, scalable energy.",,2025-07-09 04:45:46,
Microsoft Research Blog,Microsoft Fusion Summit explores how AI can accelerate fusion research,https://www.microsoft.com/en-us/research/blog/microsoft-fusion-summit-explores-how-ai-can-accelerate-fusion-research/,"The first Microsoft Research Fusion Summit brought together global experts to explore how AI can help unlock the potential of fusion energy. Discover how collaborations with leading institutions can help speed progress toward clean, scalable energy.",,2025-07-09 04:45:46,
Microsoft Research Blog,Societal AI: Building human-centered AI systems,https://www.microsoft.com/en-us/research/blog/societal-ai-building-human-centered-ai-systems/,"Learn about a new white paper on Societal AI, an interdisciplinary framework for guiding AI development that reflects shared human values. It presents key research challenges and emphasizes collaboration across disciplines.",,2025-07-09 04:45:46,
Microsoft Research Blog,Societal AI: Building human-centered AI systems,https://www.microsoft.com/en-us/research/blog/societal-ai-building-human-centered-ai-systems/,"Learn about a new white paper on Societal AI, an interdisciplinary framework for guiding AI development that reflects shared human values. It presents key research challenges and emphasizes collaboration across disciplines.",,2025-07-09 04:45:46,
Microsoft Research Blog,Explore More,https://www.microsoft.com/en-us/research/events-conferences/,"Meet our community of researchers, learn about exciting research topics, and grow your network",,2025-07-09 04:45:46,
Microsoft Research Blog,Explore More,https://www.microsoft.com/en-us/research/events-conferences/,"Meet our community of researchers, learn about exciting research topics, and grow your network",,2025-07-09 04:45:46,
Microsoft Research Blog,Events & conferences,https://www.microsoft.com/en-us/research/events-conferences/,"Meet our community of researchers, learn about exciting research topics, and grow your network",,2025-07-09 04:45:46,
Microsoft Research Blog,Events & conferences,https://www.microsoft.com/en-us/research/events-conferences/,"Meet our community of researchers, learn about exciting research topics, and grow your network",,2025-07-09 04:45:46,
Microsoft Research Blog,Podcasts,https://www.microsoft.com/en-us/research/podcast/,Ongoing conversations at the cutting edge of research,,2025-07-09 04:45:46,
Microsoft Research Blog,Podcasts,https://www.microsoft.com/en-us/research/podcast/,Ongoing conversations at the cutting edge of research,,2025-07-09 04:45:46,
Microsoft Research Blog,Microsoft Research Forum,https://researchforum.microsoft.com/?OCID=msr_researchforum_MCR_Blog_Landing,Join us for a continuous exchange of ideas about research in the era of general AI,,2025-07-09 04:45:46,
Microsoft Research Blog,Microsoft Research Forum,https://researchforum.microsoft.com/?OCID=msr_researchforum_MCR_Blog_Landing,Join us for a continuous exchange of ideas about research in the era of general AI,,2025-07-09 04:45:46,
MyScheme Portal,HealthCheck-up (A.B.O.C.W.W.B),https://www.myscheme.gov.in/schemes/hc-uabocwwb,"Registered construction workers having continuous membership of the Board can avail an amount of ₹5,000/- once in a year for his/ her annual health checkup in any Hospital.",,2025-07-09 04:45:58,Assam
MyScheme Portal,EmployeeHealthScheme,https://www.myscheme.gov.in/schemes/ehsap,"The Employee Health Scheme (EHS) is a government-run health scheme in Andhra Pradesh, providing cashless treatment at network hospitals for government employees, pensioners, and their families under the Dr. YSR Aarogyasri Health care Trust.",,2025-07-09 04:45:58,Andhra Pradesh
MyScheme Portal,TotalHealthCheck-up Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/thcsgbocwwb,"This scheme facilitates a complete physical examination of the construction workers, which can diagnose potential illnesses and early treatment can prevent major illnesses. Hence, major illness can be avoided and the construction worker can lead a health y life.",,2025-07-09 04:45:58,Gujarat
MyScheme Portal,LivestockHealthand Diseases Control,https://www.myscheme.gov.in/schemes/lhadc,"The Livestock Health and Diseases Control (LH&DC) scheme is a Centrally Sponsored Scheme (CSS) implemented by the Department of Animal Husbandry and Dairying (DAHD), Ministry of Agriculture and Farmers' Welfare, Government of India.",,2025-07-09 04:45:58,"Ministry of Fisheries,Animal Husbandry and Dairying"
MyScheme Portal,RKVY SoilHealthand Fertility - SoilHealthCard,https://www.myscheme.gov.in/schemes/rkvyshfshc,"Soil Health Card is designed to give each farmer soil nutrient status of his/her holding and advice him/her on the dosage of fertilizers and also the needed soil amendments, that s/he should apply to maintain soil health in the long run.",,2025-07-09 04:45:58,Ministry Of Agriculture and Farmers Welfare
MyScheme Portal,SpecialHealthScheme for Primitive Tribes,https://www.myscheme.gov.in/schemes/shspt,"The ""Special Health Scheme for Primitive Tribes"" scheme by the Welfare Department, Government of Jharkhand, aims to improve health care services for primitive tribal communities. Financial assistance of ₹38,41,632 is provided for targeted health care benefits.",,2025-07-09 04:45:58,Jharkhand
MyScheme Portal,Rural Sports andHealthPromotion Scheme,https://www.myscheme.gov.in/schemes/rsahps,The scheme promotes fitness among rural youth by providing financial assistance to the mangal dals for setting up open gyms in each Gram Panchayat.,,2025-07-09 04:45:58,Uttarakhand
MyScheme Portal,Tripura JournalistHealthInsurance Scheme,https://www.myscheme.gov.in/schemes/tjhis,"A Health Insurance Scheme by the Directorate of Information & Culture Affairs, for Journalists who are permanent residents of the state of Tripura. The applicant must be an accredited journalist by the state government or PIB. The age must be in between 21-65 years.",,2025-07-09 04:45:58,Tripura
MyScheme Portal,Chief Minister’sHealthInsurance Scheme - Nagaland,https://www.myscheme.gov.in/schemes/cmhisn,"Launched on 16th October 2022, the scheme ""Chief Minister Health Insurance Scheme (CMHIS)"" is a Public Health Insurance Scheme by the Health and Family Welfare Department, Government of Nagaland. This scheme provides cashless treatment up to ₹20 lakhs for employees and pensioners and ₹5 lakhs.",,2025-07-09 04:45:58,Nagaland
MyScheme Portal,Andaman & Nicobar Islands Scheme forHealthInsurance,https://www.myscheme.gov.in/schemes/anishi,The Health Insurance (ANISHI) shall provide cashless treatment upto Rupees 5 Lakhs per patients per illness which include indoor and outdoor treatments.,,2025-07-09 04:45:58,Andaman and Nicobar Islands
