source,title,link,description,date,scraped_at
Microsoft Research Blog,"Magentic-UI, an experimental human-centered web agent",https://www.microsoft.com/en-us/research/blog/magentic-ui-an-experimental-human-centered-web-agent/,"Magentic-UI, new from Microsoft Research, is an open-source research prototype of a human-centered AI agent, designed to work with people to complete complex, web-based tasks in real time over a web browser.",,2025-07-09 04:45:46
Microsoft Research Blog,Predicting and explaining AI model performance: A new approach to evaluation,https://www.microsoft.com/en-us/research/blog/predicting-and-explaining-ai-model-performance-a-new-approach-to-evaluation/,"ADeLe, a new evaluation method, explains what AI systems are good at—and where they’re likely to fail. By breaking tasks into ability-based requirements, it has the potential to provide a clearer way to evaluate and predict AI model performance.",,2025-07-09 04:45:46
Microsoft Research Blog,Predicting and explaining AI model performance: A new approach to evaluation,https://www.microsoft.com/en-us/research/blog/predicting-and-explaining-ai-model-performance-a-new-approach-to-evaluation/,"ADeLe, a new evaluation method, explains what AI systems are good at—and where they’re likely to fail. By breaking tasks into ability-based requirements, it has the potential to provide a clearer way to evaluate and predict AI model performance.",,2025-07-09 04:45:46
Microsoft Research Blog,"Research Focus: Week of May 7, 2025",https://www.microsoft.com/en-us/research/blog/research-focus-week-of-may-7-2025/,"In this issue: New research on compound AI systems and causal verification of the Confidential Consortium Framework; release of Phi-4-reasoning; enriching tabular data with semantic structure, and more.",,2025-07-09 04:45:46
Microsoft Research Blog,"Research Focus: Week of May 7, 2025",https://www.microsoft.com/en-us/research/blog/research-focus-week-of-may-7-2025/,"In this issue: New research on compound AI systems and causal verification of the Confidential Consortium Framework; release of Phi-4-reasoning; enriching tabular data with semantic structure, and more.",,2025-07-09 04:45:46
Microsoft Research Blog,Microsoft Fusion Summit explores how AI can accelerate fusion research,https://www.microsoft.com/en-us/research/blog/microsoft-fusion-summit-explores-how-ai-can-accelerate-fusion-research/,"The first Microsoft Research Fusion Summit brought together global experts to explore how AI can help unlock the potential of fusion energy. Discover how collaborations with leading institutions can help speed progress toward clean, scalable energy.",,2025-07-09 04:45:46
Microsoft Research Blog,Microsoft Fusion Summit explores how AI can accelerate fusion research,https://www.microsoft.com/en-us/research/blog/microsoft-fusion-summit-explores-how-ai-can-accelerate-fusion-research/,"The first Microsoft Research Fusion Summit brought together global experts to explore how AI can help unlock the potential of fusion energy. Discover how collaborations with leading institutions can help speed progress toward clean, scalable energy.",,2025-07-09 04:45:46
Microsoft Research Blog,Societal AI: Building human-centered AI systems,https://www.microsoft.com/en-us/research/blog/societal-ai-building-human-centered-ai-systems/,"Learn about a new white paper on Societal AI, an interdisciplinary framework for guiding AI development that reflects shared human values. It presents key research challenges and emphasizes collaboration across disciplines.",,2025-07-09 04:45:46
Microsoft Research Blog,Societal AI: Building human-centered AI systems,https://www.microsoft.com/en-us/research/blog/societal-ai-building-human-centered-ai-systems/,"Learn about a new white paper on Societal AI, an interdisciplinary framework for guiding AI development that reflects shared human values. It presents key research challenges and emphasizes collaboration across disciplines.",,2025-07-09 04:45:46
Microsoft Research Blog,Explore More,https://www.microsoft.com/en-us/research/events-conferences/,"Meet our community of researchers, learn about exciting research topics, and grow your network",,2025-07-09 04:45:46
Microsoft Research Blog,Explore More,https://www.microsoft.com/en-us/research/events-conferences/,"Meet our community of researchers, learn about exciting research topics, and grow your network",,2025-07-09 04:45:46
Microsoft Research Blog,Events & conferences,https://www.microsoft.com/en-us/research/events-conferences/,"Meet our community of researchers, learn about exciting research topics, and grow your network",,2025-07-09 04:45:46
Microsoft Research Blog,Events & conferences,https://www.microsoft.com/en-us/research/events-conferences/,"Meet our community of researchers, learn about exciting research topics, and grow your network",,2025-07-09 04:45:46
Microsoft Research Blog,Podcasts,https://www.microsoft.com/en-us/research/podcast/,Ongoing conversations at the cutting edge of research,,2025-07-09 04:45:46
Microsoft Research Blog,Podcasts,https://www.microsoft.com/en-us/research/podcast/,Ongoing conversations at the cutting edge of research,,2025-07-09 04:45:46
Microsoft Research Blog,Microsoft Research Forum,https://researchforum.microsoft.com/?OCID=msr_researchforum_MCR_Blog_Landing,Join us for a continuous exchange of ideas about research in the era of general AI,,2025-07-09 04:45:46
Microsoft Research Blog,Microsoft Research Forum,https://researchforum.microsoft.com/?OCID=msr_researchforum_MCR_Blog_Landing,Join us for a continuous exchange of ideas about research in the era of general AI,,2025-07-09 04:45:46
